Frequency (Hz),Channel 1 Magnitude (dB)
124652,-0.444848
124756,-0.740117
124859,-0.402919
124963,-0.369301
125068,-0.704592
125172,-0.626187
125276,-0.252092
125380,-0.650998
125485,-0.489846
125589,-0.751614
125694,-0.490163
125798,-0.608767
125903,-0.548384
126008,-0.552564
126113,-0.559987
126218,-0.629931
126323,-0.4626
126428,-0.700699
126533,-0.545337
126639,-0.651333
126744,-0.686602
126850,-0.359896
126955,-0.679913
127061,-0.428217
127167,-0.340887
127273,-0.630909
127379,-0.461709
127485,-0.620833
127591,-0.75902
127697,-0.531231
127803,-0.634876
127910,-0.50595
128016,-0.511832
128123,-0.443041
128230,-0.413287
128336,-0.60673
128443,-0.604003
128550,-0.344152
128657,-0.311664
128764,-0.388836
128872,-0.539998
128979,-0.393137
129086,-0.314065
129194,-0.296474
129301,-0.675005
129409,-0.335104
129517,-0.530585
129625,-0.440267
129733,-0.707092
129841,-0.747259
129949,-0.457851
130057,-0.518724
130165,-0.65448
130274,-0.630565
130382,-0.38171
130491,-0.500887
130599,-0.508838
130708,-0.437339
130817,-0.54501
130926,-0.482786
131035,-0.499566
131144,-0.547131
131253,-0.605224
131362,-0.584796
131472,-0.732272
131581,-0.578356
131691,-0.467151
131800,-0.653679
131910,-0.657454
132020,-0.466835
132130,-0.478978
132240,-0.582843
132350,-0.643133
132460,-0.663398
132571,-0.660525
132681,-0.692465
132791,-0.822658
132902,-0.639993
133013,-0.399731
133123,-0.218271
133234,-0.623038
133345,-0.519264
133456,-0.756741
133567,-0.739052
133678,-0.646776
133790,-0.653399
133901,-0.658246
134013,-0.607906
134124,-0.548551
134236,-0.530156
134348,-0.530684
134460,-0.579819
134572,-0.705638
134684,-0.547394
134796,-0.561385
134908,-0.185084
135020,-0.66339
135133,-0.429435
135245,-0.476443
135358,-0.292464
135471,-0.565735
135583,-0.672628
135696,-0.41956
135809,-0.656357
135922,-0.558007
136036,-0.577011
136149,-0.435471
136262,-0.545854
136376,-0.458545
136489,-0.592412
136603,-0.504628
136717,-0.744023
136830,-0.495241
136944,-0.453095
137058,-0.526738
137172,-0.65722
137287,-0.589973
137401,-0.874456
137515,-0.628604
137630,-0.254672
137744,-0.578735
137859,-0.614341
137974,-0.501035
138089,-0.725923
138204,-0.445563
138319,-0.700052
138434,-0.505464
138549,-0.747987
138665,-0.394366
138780,-0.47973
138896,-0.650727
139011,-0.288964
139127,-0.497327
139243,-0.531098
139359,-0.284434
139475,-0.628354
139591,-0.58915
139707,-0.561322
139824,-0.579046
139940,-0.432318
140057,-0.587038
140173,-0.565977
140290,-0.588823
140407,-0.412047
140524,-0.493927
140641,-0.451738
140758,-0.478767
140875,-0.537066
140992,-0.458382
141110,-0.549699
141227,-0.40496
141345,-0.380068
141462,-0.630488
141580,-0.540321
141698,-0.546885
141816,-0.603165
141934,-0.809945
142052,-0.470292
142171,-0.389571
142289,-0.48297
142407,-0.460367
142526,-0.634534
142645,-0.614899
142763,-0.328376
142882,-0.487468
143001,-0.485909
143120,-0.741945
143240,-0.753229
143359,-0.660393
143478,-0.603811
143598,-0.599304
143717,-0.629393
143837,-0.487451
143957,-0.50073
144077,-0.619457
144196,-0.653524
144317,-0.51028
144437,-0.37153
144557,-0.447823
144677,-0.534863
144798,-0.418323
144918,-0.560838
145039,-0.675718
145160,-0.544785
145281,-0.285118
145402,-0.511847
145523,-0.713827
145644,-0.776969
145765,-0.89073
145887,-0.439569
146008,-0.725941
146130,-0.336638
146251,-0.671788
146373,-0.439051
146495,-0.59322
146617,-0.62721
146739,-0.390814
146861,-0.750754
146983,-0.643045
147106,-0.66625
147228,-0.606017
147351,-0.846125
147474,-0.64096
147596,-0.542406
147719,-0.409997
147842,-0.68188
147965,-0.756569
148089,-0.522999
148212,-0.461902
148335,-0.665092
148459,-0.560922
148582,-0.452876
148706,-0.354348
148830,-0.571123
148954,-0.549962
149078,-0.481934
149202,-0.513793
149326,-0.524766
149451,-0.504107
149575,-0.446554
149700,-0.60039
149824,-0.640273
149949,-0.588132
150074,-0.541687
150199,-0.416027
150324,-0.271229
150449,-0.652834
150574,-0.617565
150700,-0.546493
150825,-0.457699
150951,-0.52554
151076,-0.487282
151202,-0.54619
151328,-0.593925
151454,-0.510095
151580,-0.533834
151706,-0.452511
151833,-0.380587
151959,-0.624992
152086,-0.767507
152212,-0.670291
152339,-0.634893
152466,-0.639342
152593,-0.540962
152720,-0.626722
152847,-0.600517
152974,-0.392996
153102,-0.695357
153229,-0.832333
153357,-0.596867
153484,-0.587548
153612,-0.352486
153740,-0.559043
153868,-0.50339
153996,-0.722966
154125,-0.851541
154253,-0.685448
154381,-0.605467
154510,-0.654447
154638,-0.400249
154767,-0.387625
154896,-0.671937
155025,-0.556401
155154,-0.594246
155283,-0.785488
155413,-0.443097
155542,-0.692393
155672,-0.732587
155801,-0.834633
155931,-0.558443
156061,-0.468983
156191,-0.639787
156321,-0.640005
156451,-0.611411
156581,-0.564843
156712,-0.626077
156842,-0.593232
156973,-0.710651
157103,-0.612872
157234,-0.575528
157365,-0.718043
157496,-0.70907
157627,-0.530378
157758,-0.539534
157890,-0.599756
158021,-0.598241
158153,-0.461702
158285,-0.582692
158416,-0.686143
158548,-0.533459
158680,-0.672238
158812,-0.503514
158945,-0.468331
159077,-0.612053
159209,-0.542061
159342,-0.754763
159475,-0.675813
159607,-0.54352
159740,-0.63149
159873,-0.869342
160006,-0.497152
160140,-0.557924
160273,-0.717561
160407,-0.679572
160540,-0.51105
160674,-0.464311
160808,-0.622939
160941,-0.52946
161075,-0.68383
161210,-0.696478
161344,-0.706101
161478,-0.566059
161613,-0.64208
161747,-0.537609
161882,-0.440037
162017,-0.494248
162152,-0.716987
162287,-0.48956
162422,-0.570181
162557,-0.597153
162692,-0.688921
162828,-0.665978
162963,-0.625756
163099,-0.388572
163235,-0.552504
163371,-0.57262
163507,-0.608059
163643,-0.406346
163779,-0.54746
163916,-0.792311
164052,-0.780958
164189,-0.310916
164325,-0.608432
164462,-0.559083
164599,-0.681403
164736,-0.502345
164873,-0.644184
165011,-0.802618
165148,-0.772138
165285,-0.765977
165423,-0.48113
165561,-0.610837
165699,-0.49806
165837,-0.721785
165975,-0.591244
166113,-0.57248
166251,-0.472815
166390,-0.560224
166528,-0.859403
166667,-0.5779
166806,-0.512502
166945,-0.8129
167084,-0.43097
167223,-0.704143
167362,-0.54464
167501,-0.634138
167641,-0.425742
167780,-0.841875
167920,-0.692921
168060,-0.452798
168200,-0.628576
168340,-0.608523
168480,-0.642853
168620,-0.684812
168761,-0.637339
168901,-0.659995
169042,-0.534276
169183,-0.731458
169323,-0.572955
169464,-0.541272
169606,-0.70505
169747,-0.561836
169888,-0.60386
170030,-0.577338
170171,-0.844125
170313,-0.781122
170455,-0.771137
170597,-0.630563
170739,-0.688716
170881,-0.614248
171023,-0.59794
171165,-0.712383
171308,-0.705901
171451,-0.568812
171593,-0.493831
171736,-0.670598
171879,-0.63133
172022,-0.612532
172166,-0.622612
172309,-0.496063
172452,-0.558072
172596,-0.713782
172740,-0.585482
172884,-0.56581
173028,-0.647723
173172,-0.550735
173316,-0.643247
173460,-0.479145
173605,-0.628395
173749,-0.838401
173894,-0.561941
174039,-0.578218
174183,-0.631355
174328,-0.430774
174474,-0.590588
174619,-0.627921
174764,-0.538697
174910,-0.587978
175055,-0.705708
175201,-0.518846
175347,-0.622696
175493,-0.677949
175639,-0.507386
175785,-0.73547
175932,-0.69385
176078,-0.782154
176225,-0.713701
176372,-0.733964
176519,-0.576255
176665,-0.618786
176813,-0.580776
176960,-0.708699
177107,-0.57597
177255,-0.805048
177402,-0.505138
177550,-0.778293
177698,-0.722807
177846,-0.627089
177994,-0.696903
178142,-0.640294
178290,-0.856425
178439,-0.618167
178587,-0.600095
178736,-0.489394
178885,-0.670114
179034,-0.510253
179183,-0.643998
179332,-0.627038
179481,-0.651261
179631,-0.786623
179780,-0.680489
179930,-0.621564
180080,-0.578988
180230,-0.614526
180380,-0.614207
180530,-0.644042
180680,-0.578137
180831,-0.525904
180981,-0.73548
181132,-0.570766
181283,-0.686155
181434,-0.690216
181585,-0.614914
181736,-0.627199
181888,-0.53479
182039,-0.774133
182191,-0.695281
182342,-0.792573
182494,-0.700236
182646,-0.837938
182798,-0.591845
182950,-0.689324
183103,-0.768759
183255,-0.742393
183408,-0.726951
183560,-0.798339
183713,-0.702655
183866,-0.765699
184019,-0.65643
184173,-0.571593
184326,-0.670023
184479,-0.597711
184633,-0.718118
184787,-0.742706
184941,-0.734262
185095,-0.598371
185249,-0.75157
185403,-0.663399
185557,-0.773983
185712,-0.643993
185866,-0.777137
186021,-0.696493
186176,-0.686596
186331,-0.786567
186486,-0.67563
186642,-0.690224
186797,-0.72258
186952,-0.737115
187108,-0.740677
187264,-0.61989
187420,-0.618717
187576,-0.605105
187732,-0.664043
187888,-0.642478
188045,-0.617987
188201,-0.675103
188358,-0.722962
188515,-0.816094
188672,-0.747753
188829,-0.826235
188986,-0.670095
189144,-0.689434
189301,-0.768739
189459,-0.657794
189616,-0.724855
189774,-0.767966
189932,-0.792312
190091,-0.774163
190249,-0.560639
190407,-0.694212
190566,-0.631735
190724,-0.724794
190883,-0.528852
191042,-0.681921
191201,-0.595704
191360,-0.611781
191520,-0.72991
191679,-0.608203
191839,-0.663206
191999,-0.539878
192158,-0.489175
192318,-0.601249
192479,-0.550366
192639,-0.642069
192799,-0.663934
192960,-0.728995
193120,-0.585569
193281,-0.64411
193442,-0.542698
193603,-0.576025
193764,-0.821529
193926,-0.740893
194087,-0.47514
194249,-0.557847
194411,-0.675047
194572,-0.571124
194735,-0.530566
194897,-0.681409
195059,-0.834032
195221,-0.807101
195384,-0.630734
195547,-0.801459
195709,-0.65036
195872,-0.619815
196035,-0.704153
196199,-0.736228
196362,-0.592261
196526,-0.650592
196689,-0.756841
196853,-0.626641
197017,-0.475322
197181,-0.643134
197345,-0.246744
197509,-0.565395
197674,-0.534183
197838,-0.508643
198003,-0.34106
198168,-0.670573
198333,-0.646815
198498,-0.571553
198663,-0.492301
198829,-0.472601
198994,-0.495124
199160,-0.643837
199326,-0.768222
199492,-0.662123
199658,-0.644588
199824,-0.518711
199991,-0.545926
200157,-0.679548
200324,-0.648183
200491,-0.69983
200658,-0.560983
200825,-0.588194
200992,-0.591201
201159,-0.565481
201327,-0.659204
201494,-0.514654
201662,-0.653083
201830,-0.841723
201998,-0.563117
202166,-0.443032
202335,-0.752588
202503,-0.790667
202672,-0.74958
202840,-0.489725
203009,-0.418023
203178,-0.768873
203348,-0.688865
203517,-0.65487
203686,-0.532856
203856,-0.609672
204026,-0.524922
204196,-0.59689
204366,-0.599281
204536,-0.799588
204706,-0.63051
204877,-0.351581
205047,-0.593669
205218,-0.687913
205389,-0.584262
205560,-0.346966
205731,-0.618782
205902,-0.571326
206074,-0.561396
206245,-0.689677
206417,-0.685312
206589,-0.640503
206761,-0.670691
206933,-0.570587
207105,-0.495255
207278,-0.596599
207450,-0.720712
207623,-0.412111
207796,-0.686032
207969,-0.462226
208142,-0.628663
208315,-0.710715
208489,-0.683341
208662,-0.555622
208836,-0.730341
209010,-0.730481
209184,-0.625801
209358,-0.590504
209533,-0.717253
209707,-0.441556
209882,-0.547851
210056,-0.620849
210231,-0.501617
210406,-0.475981
210582,-0.63261
210757,-0.591387
210932,-0.549023
211108,-0.536439
211284,-0.745335
211460,-0.597243
211636,-0.585979
211812,-0.566538
211988,-0.494407
212165,-0.592215
212342,-0.550806
212518,-0.555697
212695,-0.529654
212872,-0.584701
213050,-0.680748
213227,-0.739379
213405,-0.467915
213582,-0.644802
213760,-0.467189
213938,-0.611509
214116,-0.602208
214295,-0.551075
214473,-0.742982
214652,-0.605335
214830,-0.711907
215009,-0.812107
215188,-0.777632
215367,-0.508089
215547,-0.658969
215726,-0.523304
215906,-0.735751
216086,-0.535938
216266,-0.720802
216446,-0.788401
216626,-0.436895
216806,-0.599641
216987,-0.612439
217167,-0.700572
217348,-0.551145
217529,-0.309689
217710,-0.716493
217892,-0.500292
218073,-0.428388
218255,-0.512125
218436,-0.566076
218618,-0.717646
218800,-0.709121
218982,-0.699838
219165,-0.731816
219347,-0.655574
219530,-0.679453
219713,-0.724101
219896,-0.712393
220079,-0.69768
220262,-0.939678
220445,-0.620893
220629,-0.588188
220813,-0.534488
220996,-0.572908
221180,-0.547594
221365,-0.674661
221549,-0.775576
221733,-0.769628
221918,-0.591641
222103,-0.712753
222288,-0.521233
222473,-0.676949
222658,-0.751866
222843,-0.697984
223029,-0.639173
223215,-0.542839
223401,-0.934867
223587,-0.637461
223773,-0.826497
223959,-0.70803
224146,-0.530134
224332,-0.703481
224519,-0.471977
224706,-0.545674
224893,-0.50854
225080,-0.356083
225268,-0.80796
225455,-0.606819
225643,-0.76306
225831,-0.413745
226019,-0.691799
226207,-0.604609
226395,-0.580132
226584,-0.610496
226773,-0.803385
226961,-0.675375
227150,-0.769425
227340,-0.446024
227529,-0.585177
227718,-0.661021
227908,-0.724299
228098,-0.893321
228288,-0.487384
228478,-0.641869
228668,-0.750976
228858,-0.85248
229049,-0.61921
229240,-0.774586
229431,-0.49366
229622,-0.767869
229813,-0.657563
230004,-0.693355
230196,-0.616919
230387,-0.237331
230579,-0.756255
230771,-0.635537
230963,-0.630796
231156,-0.582288
231348,-0.681243
231541,-0.567712
231733,-0.615638
231926,-0.640221
232120,-0.511752
232313,-0.770409
232506,-0.735626
232700,-0.604805
232894,-0.6555
233087,-0.849834
233282,-0.77764
233476,-0.73913
233670,-0.550791
233865,-0.376003
234060,-0.637518
234254,-0.375804
234449,-0.604806
234645,-0.663204
234840,-0.565869
235036,-0.582033
235231,-0.481226
235427,-0.546784
235623,-0.618346
235819,-0.78926
236016,-0.873739
236212,-0.518408
236409,-0.676262
236606,-0.71139
236803,-0.584167
237000,-0.78299
237197,-0.660468
237395,-0.65628
237592,-0.583892
237790,-0.8379
237988,-0.606753
238186,-0.577781
238385,-0.879807
238583,-0.504038
238782,-0.741954
238981,-0.726275
239180,-0.830218
239379,-0.54988
239578,-0.635852
239778,-0.608621
239977,-0.653892
240177,-0.683592
240377,-0.737475
240577,-0.72934
240778,-0.594553
240978,-0.50758
241179,-0.559458
241380,-0.599472
241580,-0.556275
241782,-0.734347
241983,-0.921913
242184,-0.970963
242386,-0.736798
242588,-0.712107
242790,-0.757926
242992,-0.584979
243194,-0.701551
243397,-0.760664
243600,-0.913607
243802,-0.659774
244005,-0.539924
244209,-0.75102
244412,-0.713333
244615,-0.525274
244819,-0.493571
245023,-0.639302
245227,-0.631236
245431,-0.620699
245636,-0.620077
245840,-0.595014
246045,-0.936601
246250,-0.679469
246455,-0.636275
246660,-0.538711
246865,-0.579973
247071,-0.714984
247276,-0.484773
247482,-0.645393
247688,-0.803582
247895,-0.670655
248101,-0.534879
248308,-0.752145
248514,-0.683859
248721,-0.737434
248928,-0.554409
249136,-0.628156
249343,-0.731382
249551,-0.739445
249759,-0.71227
249967,-0.539517
250175,-0.664858
250383,-0.524895
250591,-0.848921
250800,-0.91095
251009,-0.73541
251218,-0.71663
251427,-0.839359
251636,-0.744228
251846,-0.760953
252056,-0.710797
252266,-0.629733
252476,-0.857778
252686,-0.653703
252896,-0.684126
253107,-0.740216
253318,-0.629646
253528,-0.642745
253740,-0.73119
253951,-0.837092
254162,-0.793278
254374,-0.786773
254586,-0.74831
254798,-0.681347
255010,-0.781346
255222,-0.579421
255435,-0.831591
255647,-0.627274
255860,-0.722454
256073,-0.786283
256287,-0.555509
256500,-0.846399
256713,-0.822802
256927,-0.771777
257141,-0.51789
257355,-0.766267
257570,-0.763584
257784,-0.80687
257999,-0.733137
258213,-0.691134
258428,-0.791806
258644,-0.742825
258859,-0.655367
259075,-0.677681
259290,-0.686041
259506,-0.594364
259722,-0.76042
259939,-0.778815
260155,-0.755629
260372,-0.984091
260588,-0.782685
260805,-0.862322
261023,-0.840376
261240,-0.972967
261457,-0.72928
261675,-0.731394
261893,-0.756312
262111,-0.622073
262329,-0.779054
262548,-0.751033
262766,-0.660198
262985,-0.423822
263204,-0.87003
263423,-0.765683
263643,-0.761558
263862,-0.673657
264082,-0.979411
264302,-0.725352
264522,-0.685428
264742,-0.704427
264962,-0.758138
265183,-0.894761
265404,-0.574503
265625,-0.784716
265846,-0.936687
266067,-0.701633
266289,-0.874511
266511,-0.959778
266733,-0.960638
266955,-0.837423
267177,-0.857518
267399,-0.732228
267622,-0.882074
267845,-1.00513
268068,-0.819575
268291,-0.7638
268514,-0.63294
268738,-0.707996
268962,-0.528837
269186,-0.728012
269410,-0.785086
269634,-0.75359
269859,-0.670407
270083,-0.654062
270308,-0.61311
270533,-0.614287
270759,-0.983919
270984,-1.01479
271210,-0.752216
271436,-0.775974
271662,-0.851996
271888,-0.759013
272114,-0.779827
272341,-0.714303
272567,-0.647858
272794,-0.764816
273022,-0.79525
273249,-0.775145
273476,-0.803736
273704,-0.927372
273932,-0.693218
274160,-0.839176
274388,-0.849448
274617,-0.720495
274846,-0.814056
275074,-0.787198
275303,-0.653287
275533,-0.559154
275762,-0.889355
275992,-0.966016
276221,-0.6865
276451,-0.794468
276682,-0.882647
276912,-0.765551
277143,-0.993792
277373,-0.862486
277604,-0.669955
277835,-0.7337
278067,-0.943317
278298,-1.17573
278530,-0.804102
278762,-0.600425
278994,-0.589198
279226,-0.950336
279459,-0.788282
279692,-0.7914
279924,-0.927722
280158,-0.796727
280391,-0.774607
280624,-0.728305
280858,-0.648557
281092,-0.914778
281326,-0.82466
281560,-0.686642
281795,-0.850998
282029,-0.852228
282264,-1.00844
282499,-0.639989
282734,-0.829744
282970,-0.726034
283205,-0.555982
283441,-1.03276
283677,-0.669084
283913,-0.741139
284150,-0.780627
284386,-0.878802
284623,-0.500645
284860,-1.15795
285097,-0.58975
285335,-1.01426
285572,-0.664529
285810,-0.820013
286048,-1.20719
286286,-0.862152
286525,-0.848084
286763,-1.07169
287002,-1.08559
287241,-0.974921
287480,-1.03541
287719,-0.698577
287959,-0.833003
288199,-1.08692
288439,-0.460606
288679,-0.855224
288919,-0.908518
289160,-0.847606
289401,-0.832246
289642,-1.01716
289883,-0.863505
290124,-0.848548
290366,-0.694837
290607,-0.972147
290849,-0.690834
291092,-0.817809
291334,-0.88482
291577,-0.883846
291819,-0.731293
292062,-0.663249
292305,-0.459339
292549,-0.762915
292792,-0.935593
293036,-0.719981
293280,-0.790401
293524,-0.800729
293769,-0.620677
294013,-0.998713
294258,-0.777774
294503,-0.733796
294748,-0.80409
294994,-0.940764
295240,-0.733986
295485,-0.994694
295731,-0.985569
295978,-0.927161
296224,-0.741598
296471,-0.81747
296718,-0.751915
296965,-0.637227
297212,-1.04261
297459,-0.803387
297707,-0.901754
297955,-1.056
298203,-0.748379
298451,-0.859242
298700,-0.665947
298949,-0.672199
299197,-0.826608
299447,-0.81078
299696,-0.935512
299945,-1.03804
300195,-0.69496
300445,-1.10707
300695,-0.903622
300946,-0.802115
301196,-1.14235
301447,-0.765029
301698,-0.90163
301949,-0.712101
302201,-0.746196
302452,-1.01058
302704,-0.938925
302956,-1.06096
303208,-0.828278
303461,-0.987936
303714,-0.894384
303966,-0.853203
304220,-0.722646
304473,-0.753749
304726,-0.936487
304980,-0.600193
305234,-0.895002
305488,-0.975076
305743,-0.706931
305997,-0.665317
306252,-1.28447
306507,-1.0659
306762,-0.654903
307018,-0.783783
307273,-1.01893
307529,-0.831257
307785,-0.733389
308041,-1.12128
308298,-0.876951
308555,-0.882375
308812,-0.658468
309069,-0.840673
309326,-1.15413
309584,-0.756158
309841,-1.0117
310099,-0.880218
310358,-0.754349
310616,-1.30144
310875,-0.998267
311133,-0.760791
311392,-0.870345
311652,-0.840755
311911,-1.00523
312171,-0.96499
312431,-1.06251
312691,-0.812189
312951,-0.955822
313212,-0.638607
313473,-0.798248
313734,-0.656342
313995,-0.804151
314256,-0.840589
314518,-1.23453
314780,-0.661381
315042,-1.05612
315304,-0.761905
315567,-0.639544
315830,-1.02444
316093,-0.84145
316356,-0.765645
316619,-0.986874
316883,-0.649139
317147,-0.840289
317411,-0.95921
317675,-0.87723
317940,-0.964665
318204,-0.540704
318469,-0.919067
318735,-0.932093
319000,-0.901033
319266,-1.07553
319531,-1.13506
319797,-0.877895
320064,-0.978433
320330,-1.15202
320597,-0.955222
320864,-0.83776
321131,-0.732679
321398,-0.963235
321666,-0.868991
321934,-0.87271
322202,-1.02276
322470,-0.914537
322739,-1.12379
323007,-0.855702
323276,-0.584129
323546,-0.949997
323815,-0.824201
324085,-0.845584
324354,-1.06227
324625,-0.924775
324895,-0.754534
325165,-0.902307
325436,-0.719512
325707,-0.906394
325978,-0.957037
326250,-0.940782
326521,-0.901161
326793,-0.71169
327065,-0.897331
327338,-0.572106
327610,-0.926561
327883,-0.966601
328156,-1.09707
328429,-0.978268
328703,-0.881936
328976,-0.905249
329250,-0.91815
329524,-0.771513
329799,-0.949522
330073,-0.906766
330348,-0.741119
330623,-1.00705
330899,-0.772766
331174,-0.92684
331450,-0.852385
331726,-0.905426
332002,-1.00291
332279,-0.805593
332555,-1.03279
332832,-1.02467
333109,-0.891368
333387,-1.11545
333664,-0.950997
333942,-0.77706
334220,-0.910572
334498,-1.06443
334777,-1.10783
335056,-1.1503
335335,-1.03451
335614,-1.15291
335893,-1.12002
336173,-1.08697
336453,-1.04898
336733,-0.937294
337013,-1.03436
337294,-1.06393
337575,-0.842956
337856,-1.09461
338137,-1.01557
338419,-0.941145
338701,-0.938782
338983,-0.919222
339265,-0.846419
339547,-0.896052
339830,-0.911547
340113,-1.07379
340396,-1.10769
340680,-1.07479
340963,-0.973736
341247,-1.01276
341531,-0.918884
341816,-1.04464
342100,-0.927669
342385,-0.868027
342670,-0.989952
342956,-1.17528
343241,-1.03946
343527,-0.989779
343813,-1.11639
344099,-0.998887
344386,-0.965522
344673,-0.840545
344960,-1.19979
345247,-1.15285
345534,-0.843319
345822,-0.945175
346110,-1.30417
346398,-1.0085
346686,-0.879478
346975,-1.08462
347264,-0.908026
347553,-1.04332
347843,-1.00448
348132,-0.750373
348422,-1.14877
348712,-0.875191
349003,-0.805811
349293,-0.919521
349584,-1.11402
349875,-1.08178
350166,-1.03582
350458,-1.23565
350750,-0.976221
351042,-0.975978
351334,-1.04798
351627,-1.09903
351919,-0.830237
352212,-1.1137
352506,-0.98597
352799,-0.893382
353093,-1.04648
353387,-1.14945
353681,-1.19784
353976,-1.12749
354270,-1.09939
354565,-1.18285
354861,-0.993491
355156,-1.14174
355452,-0.998194
355748,-1.06136
356044,-1.10416
356340,-1.03944
356637,-0.729425
356934,-0.965576
357231,-0.965741
357529,-1.02144
357826,-1.03639
358124,-0.909613
358423,-1.03745
358721,-1.1584
359020,-1.0216
359319,-1.1198
359618,-1.10762
359917,-1.03226
360217,-0.951665
360517,-1.01124
360817,-0.98932
361118,-1.1419
361418,-1.03608
361719,-0.90283
362020,-0.811349
362322,-0.959624
362623,-1.08527
362925,-1.06489
363228,-1.004
363530,-1.038
363833,-1.00106
364136,-1.04413
364439,-0.957532
364742,-1.15788
365046,-0.989139
365350,-1.09413
365654,-1.04792
365959,-0.949004
366263,-1.17046
366568,-1.10312
366874,-1.09195
367179,-0.982766
367485,-1.077
367791,-1.0506
368097,-1.13892
368403,-1.12439
368710,-1.07485
369017,-1.03113
369324,-1.08308
369632,-0.901375
369940,-1.01115
370248,-0.946946
370556,-1.13447
370865,-1.01161
371173,-1.18629
371482,-1.12643
371792,-1.21408
372101,-1.18865
372411,-1.10214
372721,-1.0193
373032,-1.0835
373342,-0.889633
373653,-1.13239
373964,-1.11585
374276,-1.05882
374587,-1.0526
374899,-1.2759
375211,-1.05309
375524,-1.15806
375836,-1.01048
376149,-1.0125
376463,-1.00797
376776,-1.22282
377090,-1.0213
377404,-1.13417
377718,-1.18438
378032,-1.21685
378347,-1.09911
378662,-1.01892
378978,-1.12164
379293,-1.2588
379609,-1.11017
379925,-1.21605
380241,-1.05987
380558,-1.17294
380875,-1.08
381192,-1.07218
381509,-0.954009
381827,-0.995088
382145,-0.993043
382463,-1.06541
382782,-1.14994
383100,-0.95193
383419,-1.12545
383739,-1.1207
384058,-0.994121
384378,-1.24279
384698,-1.08455
385018,-0.913726
385339,-1.13859
385660,-1.15828
385981,-1.12519
386302,-1.09938
386624,-1.12847
386946,-1.13177
387268,-1.27175
387590,-1.10835
387913,-1.17741
388236,-1.15848
388559,-1.19238
388883,-1.02469
389207,-1.01236
389531,-1.03572
389855,-0.977844
390180,-0.994105
390505,-1.01115
390830,-1.04769
391155,-1.23287
391481,-1.06892
391807,-1.14725
392133,-1.17252
392460,-1.14742
392786,-1.08343
393113,-1.02971
393441,-1.01552
393768,-0.93541
394096,-0.984267
394424,-0.973846
394753,-1.09193
395081,-1.04216
395410,-1.08423
395740,-1.29387
396069,-1.01889
396399,-1.19402
396729,-1.10792
397059,-1.25974
397390,-1.06854
397721,-1.12133
398052,-1.14043
398383,-1.08199
398715,-1.19981
399047,-1.18465
399379,-1.19532
399712,-1.17441
400045,-1.08505
400378,-1.07637
400711,-1.10217
401045,-1.18103
401379,-1.1014
401713,-1.20524
402047,-1.18211
402382,-1.10261
402717,-1.10795
403053,-1.12563
403388,-1.08832
403724,-1.08371
404060,-1.13215
404397,-1.09822
404733,-1.03543
405070,-1.14894
405408,-1.11369
405745,-1.07203
406083,-1.22105
406421,-1.3065
406760,-1.01425
407098,-1.05235
407437,-1.20913
407777,-1.21588
408116,-1.21417
408456,-1.27649
408796,-1.16782
409136,-1.15403
409477,-1.10202
409818,-1.25934
410159,-1.23767
410501,-1.15503
410843,-1.08316
411185,-1.09509
411527,-1.08711
411870,-1.21888
412213,-1.14844
412556,-1.13773
412899,-1.24894
413243,-1.07376
413587,-1.01474
413932,-1.20947
414276,-1.05994
414621,-1.19593
414966,-1.11298
415312,-1.28693
415658,-1.24453
416004,-1.00284
416350,-1.28535
416697,-1.19809
417044,-1.06823
417391,-1.19768
417739,-1.14343
418086,-1.10725
418435,-1.17795
418783,-1.08339
419132,-1.26621
419481,-1.21475
419830,-1.22157
420180,-1.26776
420529,-1.1369
420880,-1.28797
421230,-1.22903
421581,-1.28152
421932,-1.23359
422283,-1.21239
422635,-1.2485
422987,-1.17675
423339,-1.15935
423691,-1.15165
424044,-1.29129
424397,-1.17552
424751,-1.11616
425104,-1.20327
425458,-1.22863
425812,-0.965893
426167,-1.2144
426522,-1.12082
426877,-1.16975
427232,-1.0882
427588,-1.16622
427944,-1.21533
428300,-1.22489
428657,-1.13658
429014,-1.37261
429371,-1.17778
429729,-1.24637
430087,-1.24032
430445,-1.08169
430803,-1.38858
431162,-1.14784
431521,-1.19416
431880,-1.10751
432240,-1.28042
432600,-1.28818
432960,-1.18811
433320,-1.2613
433681,-1.22555
434042,-1.21424
434404,-1.10429
434765,-1.30132
435127,-1.44432
435490,-0.973225
435852,-1.2849
436215,-1.28986
436578,-1.39873
436942,-1.3125
437306,-1.27165
437670,-1.1914
438034,-1.16856
438399,-1.39325
438764,-1.14031
439129,-1.46808
439495,-1.33179
439861,-1.20114
440227,-1.26581
440594,-1.49803
440961,-1.28157
441328,-1.23826
441695,-1.42385
442063,-1.37398
442431,-1.28139
442799,-1.22101
443168,-1.31395
443537,-1.32689
443906,-1.34213
444276,-1.44673
444646,-1.26232
445016,-1.32654
445387,-1.35913
445758,-1.37028
446129,-1.27253
446500,-1.29497
446872,-1.25852
447244,-1.06784
447616,-1.37226
447989,-1.1308
448362,-1.12443
448736,-1.41076
449109,-1.32816
449483,-1.26188
449857,-1.47443
450232,-0.998792
450607,-1.29248
450982,-1.12306
451358,-1.37557
451733,-1.48145
452110,-1.32545
452486,-1.23963
452863,-1.41434
453240,-1.23353
453617,-1.22973
